Destiny's Child featuring T.I. and Lil Wayne,Soldier,243
Dev,In the Dark,225
Dev featuring The Cataracs,Bass Down Low,209
Diddy – Dirty Money featuring Skylar Grey,Coming Home,238
Dirty Vegas,Days Go By,218
Dixie Chicks,Landslide,226
DJ Snake and AlunaGeorge,You Know You Like It,244
DJ Snake and Lil Jon,Turn Down for What,212
DJ Snake featuring Bipolar Sunshine,Middle,215
DJ Snake featuring Justin Bieber,Let Me Love You,203
DNCE,Cake by the Ocean,215
Drake,Best I Ever Had,255
Drake featuring Majid Jordan,"Hold On, We're Going Home",225
Dru Hill,I Should Be...,260
Eamon,I Don't Want You Back,224
Ed Sheeran,The A Team,258
Ed Sheeran,Thinking Out Loud,277
Ed Sheeran,Don't,216
Ed Sheeran,Photograph,255
Eden xo,Too Cool to Dance,188
Edward Maya and Vika Jigulina,Stereo Love,184
Eiffel 65,Blue (Da Ba Dee),206
Elijah Blake,I Just Wanna...,250
Elle King,Ex's & Oh's,200
Ellie Goulding,Burn,229
Ellie Goulding,Lights,209
Ellie Goulding,Love Me like You Do,248
Ellie Goulding,Something in the Way You Move,223
Ellie Goulding,On My Mind,207
Elliott Yamin,Wait for You,238
Elvis Presley,Suspicious Minds (Live In Concert),255
Emeli Sandé,Next to Me (Radio Mix),194
Eminem,Mockingbird,250
Eminem featuring Rihanna,Love the Way You Lie,262
Enrique Iglesias,Escape,206
Enrique Iglesias,Bailamos,213
Enrique Iglesias featuring Ludacris & DJ Frank E,Tonight (I'm Lovin' You),229
"Enrique Iglesias featuring Sean Paul, Descemer Bueno and Gente de Zona",Bailando,240
Eric Church,Springsteen,260
Eva Simons,I Don't Like You,251
Evan and Jaron,From My Head to My Heart,190
Evan and Jaron,Crazy for This Girl,201
Eve featuring Alicia Keys,Gangsta Lovin',238
Eve featuring Gwen Stefani,Let Me Blow Ya Mind,223
Everclear,Father of Mine,232
Everclear,I Will Buy You a New Life,238
Everclear,AM Radio,229
Everclear,Wonderful,272
Fabolous featuring Ne-Yo,Make Me Better,253
Fabolous featuring The-Dream,Throw It in the Bag,230
Fall Out Boy,"Dance, Dance",179
Fall Out Boy,My Songs Know What You Did in the Dark (Light Em Up),186
Fall Out Boy,Centuries,226
Fall Out Boy,"Sugar, We're Goin' Down",226
Fall Out Boy,Thnks fr th Mmrs,202
Fall Out Boy,Uma Thurman,211
Fall Out Boy featuring John Mayer,Beat It,226
Fancy Reagan,Knock Me Out,202
Far East Movement featuring The Cataracs & Dev,Like a G6,216
Fastball,The Way,256
Fastball,Out of My Head,152
Fatboy Slim,Praise You (Radio Edit),204
Fatboy Slim,The Rockafeller Skank,209
Fefe Dobson,Everything,221
Fergie,Clumsy,199
Fergie,London Bridge,207
Fergie,Big Girls Don't Cry,254
Fergie featuring Ludacris,Glamorous,246
Fergie featuring will.i.am,Fergalicious,222
Fifth Harmony,That's My Girl,203
Fifth Harmony featuring Kid Ink,Worth It,222
Fifth Harmony featuring Ty Dolla Sign,Work from Home,213
Finger Eleven,One Thing,270
Finger Eleven,Paralyzer,205
Five for Fighting,100 Years,246
Flex featuring Belinda,Te Quiero (Spanglish Version),194
Flo Rida,Good Feeling,245
Flo Rida,Whistle,223
Flo Rida,Right Round,204
Flo Rida,I Cry,218
Flo Rida,My House,191
Flo Rida featuring Sage the Gemini and Lookas,G.D.F.R.,187
Florida Georgia Line,Cruise,218
Flume featuring Kai,Never Be like You,233
Flyleaf,All Around Me,197
Foster the People,Pumped Up Kicks,235
Fountains of Wayne,Stacy's Mom,195
Foxes,Youth,220
Frankie,New Obsession,222
Frankie J,Don't Wanna Try,246
Frankie J,How to Deal,232
Frankie J featuring Baby Bash,Obsession (No Es Amor),222
Franz Ferdinand,Take Me Out,236
Franz Ferdinand,Do You Want To,215
Free Energy,Bang Pop,217
Frickin' A,Jessie's Girl,174
Fuel,Falls on Me,250
Fuel,Bad Day,193
Fuel,Hemorrhage (In My Hands),236
Fun,Carry On,278
G-Eazy and Bebe Rexha,"Me, Myself & I",250
G.R.L.,Show Me What You Got,214
Garbage,I Think I'm Paranoid,218
Garbage,Special,225
Gavin DeGraw,In Love with a Girl,205
Gavin DeGraw,Not Over You,214
Gavin James,Bitter Pill,238
Ginuwine,In Those Jeans,242
Ginuwine,Differences,248
